"ring","year","site","sex","Difsite","survival","site_recode","Lrecapture","time_SLC"
"Z632794",2016,"DUN","F",0,1,"DUN",0,1
"Z632794",2017,"DUN","F",0,0,"DUN",0,1
"Z632795",2015,"DUN","M",0,0,"DUN",0,0
"Z632801",2015,"BLA","F",0,1,"BLA",0,0
"Z632801",2016,"BLA","F",0,1,"BLA",0,1
"Z632801",2019,"BLA","F",0,0,"BLA",1,3
"Z632802",2015,"BLA","M",0,1,"BLA",0,0
"Z632802",2017,"BLA","M",0,1,"BLA",1,2
"Z632802",2018,"BLA","M",0,0,"BLA",0,1
"Z632804",2015,"DNC","F",0,0,"DNC",0,0
"Z632805",2015,"DNC","M",0,0,"DNC",0,0
"Z632807",2015,"DOR","F",0,0,"DOR",0,0
"Z632812",2015,"KCK","F",0,0,"KCK/KCZ",0,0
"Z632813",2015,"KCZ","M",0,0,"KCK/KCZ",0,0
"Z632827",2015,"EDI","F",0,1,"EDI",0,0
"Z632827",2016,"EDI","F",0,1,"EDI",0,1
"Z632827",2017,"EDI","F",0,1,"EDI",0,1
"Z632827",2018,"EDI","F",0,0,"EDI",0,1
"Z632828",2015,"EDI","M",0,0,"EDI",0,0
"Z632838",2016,"ALN","F",0,0,"ALN",0,0
"Z632845",2016,"TAI","M",0,1,"TAI",0,0
"Z632845",2017,"TAI","M",0,1,"TAI",0,1
"Z632845",2018,"TAI","M",0,0,"TAI",0,1
"Z632846",2016,"STY","M",0,1,"STY",0,0
"Z632846",2017,"STY","M",0,0,"STY",0,1
"Z632847",2016,"MCH","M",0,0,"MCH",0,0
"Z632848",2016,"RSY","F",0,0,"RSY",0,0
"Z632849",2016,"RSY","M",0,0,"RSY",0,0
"Z632850",2016,"FOF","F",0,0,"FOF",0,0
"Z632851",2016,"BIR","M",0,0,"BIR",0,0
"Z632852",2016,"BIR","F",0,0,"BIR",0,0
