"site"	"year"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"PIT"	"2018"	"3.61601781899165"	"3.76259535630741"	"4.65717499225532"	"3.75270777140707"	"3.67482442188994"	"3.32298398972448"	"3.38658480160931"	"3.20800628821044"	"4.70257027592378"	"4.29397616526282"	"4.10536001836858"	"3.09721984004642"
"KCK"	"2018"	"2.66826355323333"	"2.84515486621774"	"3.69403293768083"	"3.13222428792873"	"3.14801791965033"	"2.75128316774289"	"2.92320913933094"	"2.51362534380023"	"3.64094502889787"	"3.25943895668201"	"3.29021495479244"	"2.43779272694533"
"KCZ"	"2018"	"2.66826355323333"	"2.84515486621774"	"3.69403293768083"	"3.13222428792873"	"3.14801791965033"	"2.75128316774289"	"2.92320913933094"	"2.51362534380023"	"3.64094502889787"	"3.25943895668201"	"3.29021495479244"	"2.43779272694533"
"BLA"	"2018"	"2.63383413800569"	"2.77092591045213"	"3.5571814733613"	"3.1018721277425"	"3.07062732009876"	"2.65140436216109"	"2.80273466910817"	"2.44098902955788"	"3.52803657128488"	"3.18891695862093"	"3.4132328328481"	"2.55595624410263"
"CAL"	"2018"	"3.53878978985272"	"3.54631198401193"	"4.05449129470104"	"3.48647366381523"	"3.50166079937745"	"3.05019324049851"	"3.27428145955158"	"3.09901057121722"	"4.22434371141848"	"4.03677091187001"	"4.12144816899012"	"3.35389743660112"
"DNM"	"2018"	"3.09241283001064"	"3.20195748244855"	"3.70169589859376"	"3.04748237088908"	"3.41473091101488"	"2.85105535167695"	"3.13401565314045"	"2.72557232218295"	"3.74771306305513"	"3.60866983971564"	"3.74623381640773"	"2.96544137308254"
"DNC"	"2018"	"3.96439848664523"	"4.07476737943463"	"4.25345991227351"	"3.52975265125136"	"4.0301099367621"	"3.26224920663474"	"3.50436417982377"	"3.24992073651268"	"4.54589803440799"	"4.52462238056967"	"4.58984798253675"	"3.71560621581564"
"DNS"	"2018"	"5.14638786234375"	"5.51852524766731"	"4.8933822838185"	"4.51957289428279"	"4.81781045279144"	"3.77171106449971"	"3.95523232278764"	"4.37191579197761"	"5.81281914402268"	"5.94171773121142"	"5.73079637884466"	"4.9614672091394"
"DLW"	"2018"	"3.67348765464764"	"4.0236100316007"	"3.28567844038437"	"3.66220939979245"	"3.38697210538856"	"2.76084381646054"	"2.73307269804792"	"3.30482987013939"	"4.37593461669663"	"4.37802672511428"	"4.48164188113681"	"4.01873208715379"
"CRU"	"2018"	"4.18043363124098"	"3.99871545478657"	"4.09665190802409"	"4.23723168403477"	"3.67561866532727"	"3.25762902701594"	"3.030899390008"	"3.42681156879884"	"4.77473873132488"	"4.50334122961741"	"4.51921259473963"	"4.30499988523857"
